,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,love,hurt,goodbye,friend,hopeless,memory,play,sad
524,THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7.963,0,920.797189,173,7,0.298,0,4,88,C#,Minor,74,55,85,1,0,5,22,0.6980575,0.8460689,0.87485415,0.7636875,0.86157846,0.8233924,0.8208045,0.88817036
525,One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4.771,0,539.595276,68,18,0.075,0,1,97,C#,Major,68,72,78,4,0,7,5,0.87545985,0.9182141,0.89346725,0.77629936,0.91054046,0.933166,0.8879849,0.8407118
526,Beggin,Måneskin,1,2017,12,8,8.559,0,1367.810478,183,64,0.964,9,,134,B,Minor,71,59,80,13,0,36,5,0.75157243,0.6782628,0.7319709,0.67517054,0.73046494,0.7105442,0.6329316,0.68040884
527,Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3.221,2,578.207856,67,13,0.139,0,40,116,D,Major,75,36,76,12,0,10,10,0.5981076,0.92871934,0.8166803,0.7754278,0.9110987,0.76626635,0.8399692,0.8558222
528,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3.423,26,775.542072,61,65,0.053,6,0,170,E,Minor,64,14,70,9,0,9,8,0.8546906,0.76330245,0.8805657,0.86753386,0.9514475,0.9146652,0.90343076,0.81821376
529,MONEY,Lisa,1,2021,9,10,2.566,13,863.625566,44,109,0.131,0,,140,C#,Minor,83,40,55,16,0,14,23,0.61869156,0.6850289,0.73760414,0.5953551,0.7728329,0.6689861,0.6204241,0.664855
530,The Motto,"Tiësto, Ava",2,2021,11,4,9.151,6,656.013912,240,107,0.268,0,,118,G,Minor,75,46,76,3,0,9,4,0.6531569,0.834123,0.7927652,0.70814973,0.8068783,0.6456972,0.76123595,0.8186991
531,Happier Than Ever,Billie Eilish,1,2021,7,30,8.476,0,1056.760045,138,133,0.283,0,,65,,Major,31,31,24,76,0,14,4,0.7978733,0.8820395,0.7092508,0.87356573,0.7195897,0.8769928,0.9124966,0.7574334
532,Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7.495,17,611.994237,114,172,0.284,2,,120,,Minor,56,16,67,0,0,11,4,0.88713396,0.9101558,0.953747,0.84130764,0.91383,0.95948535,0.9298068,0.9816762
533,traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5.257,6,1230.855859,85,43,0.134,0,,176,D#,Major,29,12,33,68,0,12,5,0.6242788,0.5367091,0.67298377,0.49494547,0.5434166,0.7254698,0.60451055,0.57263243
534,Toxic,BoyWithUke,1,2021,9,10,1.795,0,582.98138,34,23,0.118,0,,180,G#,Minor,59,69,61,84,0,46,36,0.8324921,0.58305097,0.8449291,0.7231134,0.6789882,0.84098697,0.76756555,0.6267296
535,drivers license,Olivia Rodrigo,1,2021,1,8,12.685,3,1858.144199,185,61,0.485,0,,144,A#,Major,59,21,43,76,0,10,7,0.7235526,0.7946749,0.73770964,0.72594315,0.78534335,0.68473136,0.7566566,0.82098997
536,Malvadão 3,"Xamã, Gustah, Neo B",3,2021,11,30,0.648,1,240.684449,14,3,0.081,0,,133,F#,Minor,82,52,61,38,0,14,27,0.7130378,0.6736515,0.72665715,0.71410215,0.6851597,0.76824474,0.7664505,0.63234735
537,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4.635,5,583.687007,50,49,0.03,1,2,93,,Major,63,21,52,28,0,9,3,0.92669755,0.90564483,0.9000245,0.91148704,0.91843456,0.89596736,0.9401526,0.9140737
538,Don't Break My Heart,The Weeknd,1,2022,1,7,1.184,0,63.803529,1,5,0.006,0,,122,A#,Major,77,25,62,34,0,23,3,0.7858455,0.75855744,0.932096,0.830672,0.800841,0.8050387,0.882651,0.8633546
539,Oh My God,Adele,1,2021,11,19,4.431,0,466.214729,105,7,0.199,0,0,88,C#,Major,53,55,73,9,0,3,5,0.6710998,0.7710639,0.6709622,0.65854543,0.824067,0.7884041,0.7863662,0.77398044
540,Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,0.759,3,236.94048,32,0,0.012,0,0,170,F,Minor,70,61,44,40,0,37,4,0.8687078,0.89531755,0.89758134,0.8288283,0.9003211,0.8736998,0.8409685,0.8815839
541,A Tale By Quincy,The Weeknd,1,2022,1,7,0.733,0,41.924466,0,2,0.002,0,0,94,F,Minor,46,55,50,71,0,10,11,0.8948549,0.924265,0.924496,0.9050286,0.9045436,0.92898846,0.96644366,0.8854475
542,I AM WOMAN,Emmy Meli,1,2021,11,18,2.795,0,225.259194,45,0,0.107,0,0,170,A#,Major,65,46,47,12,0,13,16,0.6513206,0.7465277,0.7662682,0.6279756,0.80257237,0.73889923,0.71971744,0.7620203
543,Medallo,"Justin Quiles, Lenny Tavárez, Blessd",3,2021,10,27,2.78,2,393.230256,54,21,0.057,1,,90,E,Minor,79,79,70,57,0,66,8,0.69717145,0.70741135,0.7513371,0.7094395,0.7730325,0.66510653,0.6638781,0.72864234
544,It'll Be Okay,Shawn Mendes,1,2021,12,1,1.95,0,287.201015,56,8,0.104,0,10,78,G,Major,40,7,29,62,0,9,3,0.8033421,0.8409855,0.7434241,0.75904334,0.78259814,0.810974,0.8258022,0.84608394
545,Softcore,The Neighbourhood,1,2018,3,9,3.947,12,599.770206,33,102,0.093,0,30,94,D,Major,57,36,58,5,0,15,3,0.7844489,0.831288,0.8207789,0.7463618,0.79500246,0.5938679,0.7414247,0.7530023
546,Super Gremlin,Kodak Black,1,2021,10,30,2.551,0,342.779426,52,15,0.035,0,1,73,D,Major,83,11,41,0,0,36,14,0.9066244,0.94075406,0.8812352,0.8431224,0.8477199,0.7796147,0.8684733,0.9301414
547,Volví,"Aventura, Bad Bunny",2,2021,8,3,5.375,10,673.801126,138,24,0.133,0,,176,C#,Major,73,79,86,42,0,7,18,0.571604,0.7513475,0.7176458,0.6765887,0.69619083,0.6888977,0.65284514,0.7184715
548,Todo De Ti,Rauw Alejandro,1,2020,11,2,11.975,8,1168.642797,188,75,0.268,6,16,128,D#,Minor,81,57,63,40,1,10,4,0.68920386,0.7821759,0.7719624,0.70671153,0.8353771,0.73954463,0.80602276,0.79523456
549,Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2.696,0,540.539717,42,2,0.057,0,,120,G#,Major,58,44,60,44,9,5,6,0.632739,0.95867324,0.8571335,0.85608214,0.9216002,0.86279714,0.8883646,0.9024565
550,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4.963,0,383.550148,63,40,0.076,0,0,82,D,Major,63,85,62,6,0,35,4,0.9260081,0.9665085,0.96065223,0.8377207,0.9230327,0.87866676,0.8874673,0.9527477
551,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6.734,0,530.511203,47,14,0.09,0,1,95,D,Major,77,40,47,2,0,9,3,0.92843026,0.9107174,0.8981393,0.8416228,1.0069563,0.9525421,0.93578863,0.96908426
552,Every Angel is Terrifying,The Weeknd,1,2022,1,7,0.715,0,37.307967,0,1,0.002,0,0,118,,Major,44,52,94,11,0,4,29,0.96019095,0.87906873,1.0461143,0.9296149,0.8685796,0.9841209,1.014911,0.9022584
553,Tacones Rojos,Sebastian Yatra,1,2021,10,22,3.047,9,510.876816,77,31,0.085,5,28,123,B,Minor,75,93,86,8,0,14,3,0.8898168,0.8700157,0.9398656,0.8892843,0.9459761,0.9207554,0.91097206,0.88312525
554,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14.14,0,1445.941661,231,52,0.612,6,,90,,Major,63,49,68,38,0,42,18,0.93677384,0.90771055,0.9746319,0.9302607,0.9391099,0.940509,0.82949615,0.8935841
555,Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11.215,21,1763.363713,189,166,0.525,9,25,110,E,Minor,73,14,57,40,0,11,5,0.6558747,0.6233671,0.70036584,0.69313586,0.7840432,0.7457359,0.65077496,0.6786386
556,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1.678,12,374.191487,20,4,0.015,1,3,96,C#,Minor,66,76,82,47,0,10,32,0.97215664,0.86426604,1.013887,0.95975935,1.0288293,0.9059879,0.8428004,0.8793642
557,L'enfer ,Stromae,1,2022,1,9,2.035,0,108.80909,41,122,0.394,0,,88,D,Minor,56,58,55,35,0,23,11,0.59797275,0.5947246,0.70715964,0.6159173,0.6572386,0.68069047,0.6762325,0.5579641
558,Nostálgico,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2.78,2,436.695353,86,76,0.059,0,,98,A,Minor,73,60,85,17,0,24,5,0.83721274,0.77125263,0.8186318,0.84019035,0.6200342,0.73711526,0.8339064,0.6962692
559,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4.091,0,421.040617,105,2,0.073,13,1,110,,Minor,72,67,68,0,0,14,4,0.89627826,0.93133974,0.9210721,0.8316643,0.92471737,0.8749125,0.8817261,0.93696
560,Life Goes On,Oliver Tree,1,2020,7,17,2.868,0,501.541661,43,15,0.116,0,,80,,Major,70,57,49,19,0,12,8,0.6733745,0.8379472,0.74759924,0.7449182,0.82525146,0.8099293,0.73818016,0.85520834
561,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3.643,0,354.065229,69,3,0.07,0,3,110,C#,Minor,86,31,53,43,0,11,6,0.80967045,0.8888751,0.85901916,0.91037184,0.92029566,0.95208734,0.94109803,0.8098153
562,Butter,BTS,1,2021,5,21,4.779,6,1143.647827,180,135,0.223,0,5,110,G#,Major,79,70,36,0,0,6,11,0.72315323,0.7061124,0.79018116,0.75410706,0.8652337,0.61805916,0.7311129,0.723428
563,pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3.517,0,311.395144,54,28,0.043,0,0,78,C#,Minor,77,49,42,1,1,13,19,0.895586,0.8631296,0.9452188,0.8109927,0.95296544,0.9671895,0.71387637,0.8997866
564,You Right,"Doja Cat, The Weeknd",2,2021,6,24,5.073,0,672.65625,83,9,0.1,0,4,129,G#,Major,83,44,62,2,0,8,6,0.7357526,0.74797904,0.73168814,0.7030167,0.88116103,0.79519665,0.77095485,0.74388885
565,deja vu,Olivia Rodrigo,1,2021,4,1,7.545,4,1256.880657,117,39,0.141,0,46,181,A,Major,44,22,60,61,0,42,9,0.6002802,0.59163684,0.4594028,0.6155534,0.5655624,0.7328218,0.6027647,0.50559276
566,Dynamite,BTS,1,2020,8,21,8.528,5,1692.897992,239,163,0.583,0,,114,F#,Minor,75,74,77,1,0,9,10,0.7693438,0.84732383,0.9001392,0.7779958,0.7914645,0.74811757,0.7858493,0.84979856
567,TO THE MOON,Jnr Choi,1,2021,11,5,2.979,0,245.095641,44,0,0.159,0,0,144,D,Major,74,39,65,5,1,11,35,0.6747437,0.7547358,0.7262224,0.75630903,0.7687919,0.7581059,0.711771,0.75795954
568,Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7.731,2,686.734357,110,145,0.447,0,46,101,D,Major,66,18,68,9,0,12,4,0.7981013,0.7704574,0.92035496,0.88982433,0.84504366,0.89963186,0.94189173,0.90601814
569,Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1.057,0,261.414174,17,5,0.021,0,0,84,D,Major,67,78,63,29,0,12,5,0.7960365,0.8576443,0.7773314,0.83869076,0.83636403,0.8385608,0.8107195,0.8586445
570,Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3.272,19,610.045621,101,34,0.07,1,2,154,F#,Major,66,63,69,21,0,11,7,0.7899724,0.94525385,0.8359972,0.8632656,0.88287175,0.85941285,0.78460515,0.89905304
571,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14.417,0,1115.880852,237,123,0.569,0,10,148,F,Major,59,72,62,18,0,9,3,0.7649536,0.8968552,0.8563645,0.7942145,0.90843076,0.90305316,0.7978817,0.91037446
