,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1372,'Til You Can't,'Til You Can�t / Longer Than S,Cody Johnson,6/11/2021,QMCQK1900137,"1,364",40.1,"258,769,609","48,619","12,448,112",68.0,"145,224,400","822,234","91,112","11,065,564","116,117,655","629,045,388",37.0,"332,754",146,2.0,,29.0,"177,004,719","37,010","5,157,422","1,449,353",,0
1381,LA NOCHE DE ANOCHE,EL �LTIMO TOUR DEL M,Bad Bunny,11/27/2020,QMFME2066840,"1,376",39.9,"990,189,999","120,639","37,168,821",71.0,"354,318,464","2,521,106","183,400","27,563,213","229,672,086","4,102,070",134.0,"34,273",81,71.0,"2,794,787",49.0,"87,824,752","17,737",,"1,742,777",,0
1396,� (feat. � � & GUNNER),� (feat. � � & GUNNER) - Single,Juepak,4/6/2024,THMOB2412776,"1,393",39.7,"4,399,533",337,"177,125",,"62,161,614","526,409",,,,,3.0,115,,,,,,,,"15,119",,0
1406,FINA,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364183,"1,398",39.6,"226,576,178","32,219","19,829,075",78.0,"37,510,571","455,214","4,562","10,845,422","92,737,977","29,122",31.0,"3,898",67,13.0,"661,964",11.0,"5,226,528","1,565",,"335,905",,1
1415,Novo Balan�,Dos Pr�dios De,Veigh,5/19/2023,QZMWW2396002,"1,408",39.4,"258,439,807","33,493","8,747,668",69.0,"175,669,334","1,312,815",,,,"19,051,961",16.0,,,18.0,"550,977",18.0,,,,"237,669",,1
1420,We Are Young (feat. Janelle Mon�e) - feat. Janelle M,We Are Young (feat. Janelle Mon�,fun.,9/20/2011,USAT21101399,"1,414",39.3,"1,143,172,586","216,588","73,069,486",72.0,"213,210,779","1,991,783","126,524","40,627,736","302,798,025","11,536,073",135.0,"255,508",218,88.0,"336,269",52.0,"850,730,378","1,501,832",,"18,822,823",,0
1423,Deep End,Deep End,Foushe�,7/31/2020,USRC12002568,"1,417",39.2,"277,505,000","76,388","9,447,547",56.0,"126,075,119","2,454,637","4,256,904","332,625,712","3,120,170,735","224,234",108.0,"48,728",52,36.0,"1,529,118",12.0,"14,909,499","10,457",,"7,454,274",,1
1429,Si Veo a Tu Mam�,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030842,"1,423",39.1,"817,199,682","92,013","18,868,123",70.0,"741,912,041","6,429,361","260,300","72,202,454","555,577,986","16,786,223",50.0,"13,012",34,26.0,"362,333",24.0,"75,776,057","27,755",,"1,368,659",,0
1457,LA FAMA,LA FAMA (feat. The Weeknd) - Single,ROSAL�,11/11/2021,USSM12107750,"1,453",38.5,"459,476,092","79,169","20,678,333",69.0,"301,677,718","2,245,842","55,272","38,358,977","399,821,879","462,649,059",87.0,"63,710",464,46.0,"1,485,067",45.0,"3,528,286","5,647",,"3,574,604",,0
1489,�,Bibbidiba - Single,Hoshimachi Suisei,3/23/2024,JPV752408464,"1,482",38.1,"21,255,074","1,754","3,985,309",70.0,"60,877,749","97,240",477,"553,713","5,326,500","9,849,140",2.0,38,,1.0,"7,336",7.0,,,,"41,209",,0
1500,Despu�s de la P,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214876,"1,493",37.9,"542,751,537","67,763","20,306,682",71.0,"195,610,806","1,623,280","228,878","87,866,614","803,525,888","22,535,103",28.0,"18,652",129,6.0,"288,649",17.0,"27,807,712","14,924",,"1,359,456",,0
1508,Reggaet�n Lento (Baile,Primera Cita,CNCO,8/26/2016,USSD11600135,"1,497",37.9,"738,438,810","65,613","22,623,077",67.0,"1,897,769,481","7,650,997","655,030","19,223,955","149,891,612","336,396,451",64.0,"14,780",78,37.0,"353,829",39.0,"71,305,643","50,105",,"3,652,838",,0
1512,Ni�a Bo,Ni�a Bo,Feid,4/21/2023,USUM72305943,"1,508",37.8,"237,741,410","39,503","20,043,997",61.0,"86,652,111","676,137","314,300","33,678,445","411,538,350","10,320,009",37.0,"22,112",130,32.0,"499,187",13.0,"3,040,416",525,,"482,221",,0
1520,�,� - Single,Ptrp Studio,6/2/2022,THSOH2204284,"1,515",37.8,"13,219,831","3,136","395,560",45.0,"58,017,693","793,077","4,118,069","292,998,461","3,165,914,733","24,429,988",,22,,,,,,,,,,0
1525,�,� � �,� �,9/18/2023,THSOH2307725,"1,522",37.7,"456,034",14,138,,"247,148,544","892,208",,,,,,,,,,,,,,"2,065",,0
1529,Malvad�,Malvad�,Xam�,11/30/2021,QZNJZ2122225,"1,527",37.6,"270,364,614","37,002","6,997,751",56.0,"392,442,440","3,560,319","1,506,394","207,424,238","2,428,164,682","9,986,869",6.0,"10,003",,27.0,"90,277",4.0,,,,"345,849",,0
1534,Solo Conmigo,"F�rmula, Vo",Romeo Santos,9/1/2022,USSD12200782,"1,526",37.6,"99,640,817","9,262","7,078,618",65.0,"242,164,034","1,185,939","1,600,000","24,620,675","381,807,302","20,716,343",8.0,"23,342",2,1.0,"68,866",21.0,"10,389,069","2,764",,"838,701",,0
1538,Danza Kuduro - Cover,� � � - �&� POPS � � -,MUSIC LAB JPN,2/3/2023,TCJPT2289709,"1,724",37.5,"1,627,429,837",1,3,,,,,,,,,,,,,,,,,,,1
1542,Galway Girl,� (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700026,"1,535",37.5,"1,311,631,709","121,737","38,983,968",72.0,"869,890,899","5,960,113","3,002,655","45,280,966","353,002,887","104,562,182",64.0,"72,168",72,37.0,"410,364",35.0,"111,086,236","115,857",,,,0
1546,No Es por Ac�,No Es por Ac� - Si,Carin Leon,7/8/2022,QZQMB2102485,"1,543",37.4,"331,775,657","17,727","7,678,049",51.0,"385,663,277","785,773","57,763","2,441,523","45,584,468",54,12.0,"6,628",115,7.0,"1,240,927",10.0,"72,090,563","6,474","546,389","637,447",,0
1552,FALTA DE QU�,FALTA DE QU�,Luan Pereira,5/16/2024,BRRGE2400266,"1,541",37.4,"27,120,441","1,557","41,022,920",77.0,"16,048,541","164,441",,,,"143,621,870",3.0,2,,29.0,"8,662,554",15.0,,,,"8,360",,0
1558,Gato de Noche,Gato de Noche,�engo Flow,12/22/2022,QMFMF2216359,"1,547",37.3,"427,842,597","59,365","26,456,238",66.0,"103,306,657","870,677","21,809","10,011,741","92,071,601","843,106",27.0,"11,285",11,12.0,"2,170,401",27.0,"19,800,808","3,028",,"688,397",,1
1561,Melting,Melting - Single,,6/10/2024,QZNWU2402635,"1,553",37.2,,,,,,,,,,,,,,,,,,,,"289,134",,0
1563,REAL GANGSTA LOVE,EL �LTIMO B,Trueno,5/23/2024,US66W2401066,"1,554",37.2,"31,366,703","1,732","118,815,213",78.0,"7,898,813","183,210",,,,,40.0,68,,29.0,"3,152,493",16.0,"1,602",11,,"80,192",,1
1564,OKI DOKI,MA�ANA SER� BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305254,"1,557",37.2,"221,406,245","13,588","28,740,850",72.0,"104,090,438","446,840","327,346","57,209,984","622,671,381","12,262,598",9.0,"6,207",,6.0,"359,069",19.0,"12,097,407","3,504",,"350,493",,1
1582,Un Besito M�,Un Besito M�,Salastkbron,3/14/2024,AR5UH2302301,"1,581",36.9,"39,026,522","4,463","10,235,789",72.0,"52,315,903","279,494",,,,,1.0,306,,2.0,"6,018",13.0,,,,"32,814",,0
1589,Igualito a Mi Ap�,Pa Que Hablen,Fuerza Regida,12/30/2022,QZ9QQ2200167,"1,585",36.8,"316,447,060","27,766","12,168,890",72.0,"254,781,747","1,096,192",,,,"1,170,727",27.0,54,,5.0,"199,071",7.0,"24,965,083","4,579",,"425,924",,1
1600,Chup�,Chup�,El Gudi,8/25/2023,PYC842302802,"1,597",36.7,"126,216,271","8,260","5,602,330",61.0,"144,392,606","1,240,106","381,384","195,604,072","2,031,974,901","360,142,040",4.0,673,,5.0,"4,851,209",4.0,,,,"233,859",,0
1602,Sonr�ele a la ,Sonr�ele a la ,DnK,6/25/2021,QZHZ62124573,"1,590",36.7,"3,052,742",31,"1,828",10.0,"542,279","8,653","6,159,800","19,334,365","367,663,104",,,,,,,,,,,"52,596",,0
1610,Move Your Body,Move Your Body - Single,�wnboss,10/29/2021,NLZ542101576,"1,606",36.6,"366,000,029","116,490","66,103,377",71.0,"91,180,099","918,683","107,468","82,329,732","1,275,662,545","85,555,193",78.0,"55,798",288,60.0,"1,167,910",13.0,"598,467",277,,"4,585,715",,0
1621,Victoria�s ,Victoria�s ,Jax,6/30/2022,USAT22208037,"1,616",36.5,"161,267,092","28,607","7,345,512",62.0,"60,783,794","1,205,587","269,447","80,682,415","667,522,423","2,425,897,442",9.0,"234,760","1,543",2.0,"64,490",27.0,"71,491,331","56,598","1,800,837",,,1
1641,A La Antig�,Vamos Bien,Calibre 50,2/5/2021,QM2EJ1500901,"1,636",36.2,"435,614,687","40,685","20,251,614",67.0,"611,062,174","2,855,683","451,172","67,870,968","823,863,869","6,950,165",28.0,"12,073",285,13.0,"1,824,707",28.0,"83,080,877","22,637",,"969,111",,0
1645,�,�,YOASOBI,9/29/2023,JPP302300523,"1,643",36.1,"84,848,838","10,799","2,566,936",71.0,"154,044,793","1,201,477",,"710,027","13,039,709","549,624,403",9.0,335,,1.0,"20,798",4.0,"141,300",,,"145,925",,0
1646,�ndigo,�ndigo - Single,Camilo,10/13/2021,USSD12100733,"1,637",36.1,"270,580,897","31,024","10,428,322",60.0,"222,946,420","3,345,792","2,600,000","240,518,242","2,850,944,965","159,830,154",49.0,"38,074",456,14.0,"206,135",65.0,"5,334,090","2,745",,"953,695",,0
1648,Sar� Perch�,Viva Italia,Esteriore Brothers,6/7/2024,DEUM72402667,"1,638",36.1,,,,,,,"49,400","3,245,137","53,345,786",,,,,,,,,,,,,0
1650,ULTRA SOLO REMIX,ULTRA SOLO Remix,Polim� Westc,6/16/2022,CLPP22200027,"1,641",36.1,"340,527,913","50,714","21,161,966",67.0,"317,404,552","2,187,888",149,"1,809","24,715","272,065,605",30.0,"14,281",172,12.0,"1,828,696",37.0,"991,063",650,,"636,074",,0
1655,Caba�,Caba�,El Jordan 23,6/24/2023,QM7282354441,"1,646",36.0,"179,452,105","24,120","19,728,658",72.0,"153,398,992","769,149","33,300","13,326,690","85,169,761","136,951,294",8.0,81,,3.0,"22,501",6.0,"35,983",240,,"393,023",,1
1678,IDOL,Love Yourself � 'A,BTS,8/24/2018,QM6MZ1886144,"1,670",35.7,"458,842,811","26,775","16,830,592",65.0,"1,476,805,343","24,898,525","678,711","108,081,092","664,328,364","140,322,144",11.0,"1,754",9,4.0,"2,588",14.0,,,,"1,649,510",,0
1681,�,�,Tatsuya Kitani,7/7/2023,JPU902302107,"1,669",35.7,"173,018,759","22,899","7,048,784",69.0,"135,234,952","601,338","99,600","44,826,813","471,119,326","549,624,403",27.0,525,,5.0,"35,588",11.0,"58,750",185,,"394,480",,0
