,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2553,Problem�,Problem�,Alvaro Diaz,10/22/2021,USUM72118879,"2,548",28.1,"275,492,185","47,297","14,033,837",68.0,"104,950,820","697,838","1,698,681","279,415,195","2,603,158,294","31,265,536",35.0,"6,549",2,13.0,"759,534",14.0,"7,459,382",848,,"779,473",,0
2556,Nena Maldici�n (feat. Lenny Tav�,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,1/30/2018,TCADL1878978,"2,546",28.1,"614,897,887","19,568","3,797,350",,"1,332,773,890","6,926,941",,,,"150,232,863",,,,10.0,"82,810",,,,,,,0
2575,Minha Heran�,Minha Heran�,Ana Castela,5/30/2024,BKA7Y2400034,"2,575",27.9,"3,582,494",506,"20,021,976",64.0,"8,320,170","107,335",,,,"30,623,624",2.0,18,,10.0,"7,390,687",4.0,236,,,"2,856",,0
2576,Diva Yorgun,Diva Yorgun,Melike �,6/16/2023,TRBYM2000179,"2,574",27.9,"62,458,329","7,526","1,713,723",58.0,"167,062,542","417,472","11,529","693,244","25,252,458","297,624,271",10.0,"18,186",,2.0,"1,346",,,,,"412,905",,0
2580,20 Tragos,20 Tragos,Yi�,11/25/2022,USL4Q2255557,"2,568",27.9,"477,396",29,"18,081",,"388,682,045","2,199,489",20,"3,983","52,662","2,285,487",,7,,,,,,,,315,,1
2583,Jackie Chan,Jackie Chan,Ti�,5/18/2018,CYA111800123,"2,562",27.9,"867,318,774","122,200","28,477,959",66.0,"207,699,017","1,553,887","642,448","9,941,160","91,008,651","25,965,495",130.0,"46,973",,104.0,"757,074",12.0,"52,601,591","43,818","23,640,224","5,167,133",,1
2587,OJAL�,OJAL�,Maria Becerra,6/1/2022,USAT22205402,"2,579",27.8,"168,710,415","16,559","4,927,487",56.0,"358,805,694","1,890,653","72,000","24,990,011","248,098,853","365,354,168",12.0,"10,771",1,12.0,"232,266",16.0,"1,069,872",237,"6,806","182,061",,0
2598,Drunk in Love,Beyonc� (Del,Beyonc�,12/13/2013,USSM11307800,"2,588",27.8,"607,315,454","73,281","24,577,326",67.0,"827,853,706","3,895,677","42,655","24,392,560","200,100,315","196,095,530",129.0,49,83,75.0,"619,730",52.0,"493,343,155","793,889",,,,1
2602,Kaikai Kitan,�,Eve,10/3/2020,JPTF02017001,"2,596",27.7,"404,765,225","64,972","8,591,521",68.0,"470,390,576","3,380,515","119,922","70,942,249","561,999,669","100,993,171",36.0,714,,2.0,"19,827",10.0,"1,050,151","1,537",,"812,814",,0
2629,Bande organis�,Bande organis�,13 Organis�,8/15/2020,FRX282066018,"2,625",27.5,"267,241,905","62,950","4,938,947",63.0,"515,808,378","2,686,256","5,066","641,873","12,209,681","11,896,873",51.0,"17,239",,42.0,"6,246,257",10.0,,,,"2,065,953",,1
2632,Cha Cha Cha,Cha Cha Cha,K�,1/17/2023,FIWMA2200519,"2,624",27.5,"143,311,775","42,463","3,803,730",66.0,"85,239,745","891,585","78,568","18,889,271","304,146,444","11,041,200",29.0,"8,321",,6.0,"58,900",7.0,"20,792","1,989",,"281,032",,0
2634,Diab�,Diab�,Cris Mj,11/8/2023,QMFME2394856,"2,628",27.5,"83,966,111","12,847","42,315,256",73.0,"51,878,795","239,672",,"2,323","21,053","146,683,266",8.0,10,,8.0,"1,878,242",8.0,"4,824",30,,"313,530",,1
2637,Everybody make some Tik Tok,Everybody make some some Tik Tok,Bounce O�,5/22/2019,ITV951900027,"2,621",27.5,"532,262",481,"35,220",13.0,,,"8,288,070","108,201,976","2,218,181,933",,,15,,,,,,,,"11,057",,0
2638,Another Love (Ti�sto Re,Another Love (Ti�sto Re,Tom Odell,5/13/2022,GBARL2201039,"2,620",27.5,"141,141,890","32,658","32,977,028",67.0,"26,048,435","224,730","1,662,320","900,971,288","8,556,410,580",,20.0,"37,145",,23.0,"557,055",,"172,209",366,,"770,960",,0
2642,Viva La Vida,Meu Pai � do ,Coldplay,9/21/2005,GBAYE0800265,"2,619",27.5,"2,102,223,775","335,772","128,128,093",80.0,"1,412,127,488","8,707,376","1,619,542","244,469,571","2,264,301,241","1,233,854,544",93.0,"258,525",208,174.0,"4,371,982",94.0,,,,"54,637",,0
2647,Flashback (feat. Gazo),Flashback,Fav�,9/15/2023,DGA082396900,"2,654",27.4,"88,014,813","16,418","4,788,967",66.0,"53,097,639","393,538","99,500","3,276,455","26,517,142","118,125,080",10.0,"6,432",,15.0,"5,475,765",12.0,13,,"410,078","541,305",,1
2654,Luch� La,Luch� La Ley - Si,BoomBoxRepairKit,5/20/2022,QZHN62294886,"2,645",27.4,,,,,"511,029,390","1,611,310",,,,,,1,,,,,,,,10,,0
2660,Amor a Primera Vista,Amor a Primera Vista,Los �ngeles Az,6/14/2019,MX1721901080,"2,644",27.4,"346,860,422","29,735","10,707,382",65.0,"888,138,257","2,432,863","18,009","4,833,780","73,588,039","29,426,957",32.0,"7,700",47,10.0,"72,268",16.0,"43,302,352","13,188",,"1,446,419",,0
2663,�,�,Bonnadol,3/15/2023,THSOH2301617,"2,652",27.4,"478,756",207,"18,460",21.0,"5,028,021","4,866","2,000,000","13,777,952","193,347,455",,,,,,,,,,,"4,666",,0
2668,I Can See You (Taylor�s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,7/7/2023,USUG12302091,"2,673",27.3,"247,056,218","19,231","16,723,973",69.0,"41,065,721","1,260,603","139,100","34,732,272","386,594,049","756,308,958",30.0,"21,779",3,13.0,"387,578",43.0,"3,133,286","2,751","283,563","459,379",,0
2669,Derni�re d,Derni�re D,Indila,11/13/2013,FRUM71301049,"2,672",27.3,"410,783,411","84,509","10,769,145",72.0,"1,717,040,143","17,082,350","309,984","152,093,157","1,251,931,456","207,204,169",18.0,"12,131",,35.0,"6,308,639",2.0,"4,540,897","13,830",,"10,550,609",,0
2670,Prada (Valexus Remix),Prada (feat. Valexus) [Valexus Remix],cass�,9/8/2023,GBCEN2300156,"2,667",27.3,"47,098,121","16,949","17,937,069",,,,,,,,4.0,321,,7.0,"3,429",5.0,"128,025",111,"9,316,214","185,116",,1
2682,Otra Noche,Otra Noche - Single,Los �ngeles Az,11/11/2021,MX1722101437,"2,659",27.3,"238,849,559","26,517","11,475,144",64.0,"401,770,615","1,536,208","1,275","1,185,903","16,815,994","10,816,168",12.0,"12,312",211,13.0,"369,524",5.0,"3,690,918","2,072",,"885,927",,0
2684,When I'm Gone,When I�m Gone (with Katy ,Alesso,12/29/2021,USUG12106230,"2,658",27.3,"279,996,207","36,648","30,173,875",64.0,"42,705,657","691,402","1,943","977,042","19,367,991","1,087,314,726",71.0,"251,715",901,43.0,"750,115",44.0,"50,039,519","3,089",,"1,785,826",,0
2700,MTG MALDI�O ET,MTG MALDI�O ET,DJ GLK,8/5/2022,BXIV82279381,"2,689",27.2,,"6,258","1,213,114",,,,"2,809,514","97,960,938","1,396,251,598",,,,,,,,,,,,,1
2703,S�guelo Bail,Odisea,Ozuna,8/25/2017,USXDR1700560,"2,705",27.1,"544,755,640","58,066","16,986,234",66.0,"1,070,075,376","4,032,330","134,206","24,277,629","174,267,433","145,733,049",27.0,"4,826",,12.0,"55,568",14.0,"102,769,166","16,556",,"2,212,531",,0
2707,Flawl�ss (feat. Lil Uzi V,Lyf�,Yeat,9/9/2022,USUM72217061,"2,701",27.1,"233,573,513","67,981","8,674,549",69.0,"39,331,190","479,798","34,666","20,275,957","122,612,542","185,705,404",12.0,25,72,3.0,"126,922",4.0,"466,511","3,737",,"647,093",,1
2709,Bon app�,Bon App�,Katy Perry,4/28/2017,USUM71702488,"2,700",27.1,"280,898,252","32,458","9,112,382",60.0,"1,396,756,746","8,674,599","17,923","11,896,504","137,526,328","201,528,139",47.0,"8,188",,27.0,"139,079",11.0,"3,712,696","13,608",,"2,560,144",,0
2736,A M�,A M�,Rels B,2/21/2019,QM4TW1987698,"2,716",27.0,"631,152,992","82,632","15,285,194",76.0,"655,475,553","3,056,895","154,600","53,883,893","353,157,722",,16.0,"1,313",,12.0,"222,155",10.0,"219,368","1,301",,"1,136,830",,0
2749,Esc�n,Esc�n,�engo Flow,8/25/2023,QZ7R42353128,"2,736",26.9,"63,748,913","11,841","9,184,869",60.0,"109,386,782","532,629","13,700","438,906","4,695,060","434,486,494",4.0,481,113,4.0,"34,988",,"306,518",289,"420,845","202,893",,1
2752,Baian�,Baian�,Bakermat,7/26/2019,NLE801900440,"2,739",26.8,"402,771,910","128,641","26,735,486",73.0,"131,360,082","1,357,948","386,586","71,432,760","1,028,129,238","251,574",76.0,"20,908",,84.0,"7,706,000",,"1,576,753","3,177","10,115,777","3,135,726",,0
2756,Soltera,�pico,Lunay,10/25/2019,USA2P1955945,"2,744",26.8,"170,646,969","5,488","1,084,442",47.0,"990,507,015","5,312,366",,,,"298,488,940",5.0,"3,645",2,,,,"13,794,016","6,494",,,,0
2758,Huntin� W,Might Delete Later,J. Cole,4/5/2024,USUG12402405,"2,747",26.8,"36,972,292","5,914","4,824,184",,"7,753,794","139,155",,,,"399,839",3.0,56,,,,,"1,780,082",576,,"66,418",,1
2763,T� ,Odisea,Ozuna,8/25/2017,USXDR1700551,"2,742",26.8,"500,508,660","31,360","12,078,276",68.0,"978,838,486","4,506,721","774,300","14,707,010","136,354,987","151,743,372",12.0,"5,291",65,2.0,"41,455",6.0,"167,609,560","68,009",,"1,325,578",,0
2769,G�r,G�r Bak - Si,Fatih Bulut,3/8/2024,TRBIY2400022,"2,770",26.7,"11,315,262",557,"765,288",,"53,172,804","172,426",,,,"83,084,501",2.0,,,1.0,"1,566,667",,,,,"94,321",,0
2771,T� OK (Re,T� OK (Remix) (feat. MC Kevin o Ch,DENNIS,8/3/2023,BRSME2301107,"2,775",26.7,"112,629,182","13,995","21,476,863",68.0,"45,525,215","604,580","367,300","37,624,994","569,736,479","21,091,552",16.0,"3,689",,43.0,"1,673,614",29.0,"5,997,084","1,423",,"488,961",,0
2775,El Belic�,El Belic�,Peso Pluma,2/4/2022,QMFMF2141501,"2,767",26.7,"254,275,891","27,949","5,762,358",64.0,"326,775,934","1,525,536","65,900","15,883,571","217,432,850","3,365,559",10.0,15,1,,,15.0,"25,341,310","7,579",,"488,932",,1
2785,Mentalit�,EP2,Baby Gang,6/17/2022,ITC6Q2200040,"2,761",26.7,"120,605,300","50,347","2,257,680",66.0,"116,373,773","1,063,920","316,335","18,244,859","261,974,228","33,886,375",6.0,157,,3.0,"6,160",8.0,,,,"1,812,780",,1
2788,�,�,Djpaoremix,2/3/2023,QZDA42300052,"2,792",26.6,"134,274",70,"4,970",,"6,873,380","41,796","2,100,000","20,188,963","379,926,509",,,,,,,,,,,"3,926",,0
2796,Novidade na �,Novidade na �,Mc Livinho,6/23/2023,BCDMP2300045,"2,794",26.6,"191,234,818","26,907","12,302,377",64.0,"67,753,459","593,702",,,,"95,148,914",14.0,"2,970",,21.0,"311,304",6.0,,,,"242,735",,1
2798,Toxic Pony,Toxic Pony (feat. Britney Spears & Ginuwine),ALT�,1/21/2022,USRC12200203,"2,783",26.6,"103,232,015","33,577","15,250,725",60.0,"9,695,261","155,015","2,254,200","271,083,554","2,866,098,547",,13.0,"23,216",73,6.0,"35,415",6.0,"6,187,775","3,305",,"575,418",,0
2800,Aqu� A,Aqu� A,Christian Nodal,7/10/2020,MXUM72006101,"2,791",26.6,"423,313,161","33,148","12,012,992",66.0,"597,262,135","2,506,019","18,138","2,257,511","35,488,227","19,729,407",17.0,"6,932",341,15.0,"694,760",21.0,"47,114,049","7,626",,"902,218",,0
2802,Ceux qu'on �,Ceux qu'on �tait - Si,Pierre Garnier,2/7/2024,FRZ052400042,"2,793",26.6,"50,498,801","2,884","6,002,529",70.0,"27,905,696","361,990",,,,"91,399,340",30.0,"22,697",,40.0,"17,971,354",13.0,,,,"442,987",,0
2804,� - � � � �,� (� � � �),Ahmed Saad,6/20/2023,FRX872398704,"2,781",26.6,"20,588,020","3,465","1,820,609",58.0,"179,178,650","649,493","133,700","9,283,133","274,048,028","27,579,261",6.0,"1,323",,3.0,"29,136",,,,,"161,826",,0
2806,LATTE (feat. Maria Becerra),The Academy: Segunda Misi�,The Academy: Segunda Misi�,3/28/2024,USWL12400693,"2,806",26.5,"25,813,787","3,297","10,885,827",68.0,"27,340,680","205,074",,,,"10,030,985",1.0,477,,,,1.0,"95,858",48,,"59,027",,1
2820,�,�,SPRITE,4/29/2021,TH2DY2100061,"2,803",26.5,"9,126,545","2,349","139,340",41.0,"440,738,171","3,204,368","1,821,332","96,385,707","1,185,912,241","27,961,594",7.0,819,,,,,,,,"117,936",,1
2825,Un A�,Un A�,Sebastian Yatra,1/18/2019,USUM71821048,"2,819",26.4,"573,290,850","44,972","20,961,958",67.0,"830,580,317","5,534,299","314,552","17,545,978","164,663,552","29,178,246",45.0,"14,266",248,36.0,"162,734",21.0,"23,140,285","8,362",,,,0
2836,Y�re�i,Y�re�i,Amo988,9/15/2023,TRBUL2300064,"2,841",26.3,"75,979,813","7,579","4,760,968",68.0,"104,439,157","350,883","33,300","3,921,299","60,449,279","369,727,517",2.0,"2,174",,3.0,"1,583,000",,,,,"372,000",,0
2840,�,� - Single,Akris & Teddy,5/31/2024,FRX872442897,"2,828",26.3,"306,040",1,13,15.0,,,,,,,,,,,,,,,,"610,446",,0
2846,PERO T�,PERO T�,KAROL G,2/23/2023,USUM72222545,"2,827",26.3,"212,911,684","22,815","8,668,393",71.0,"106,041,009","588,756","215,518","9,084,718","131,834,580","7,517,627",9.0,528,125,6.0,"404,308",9.0,"12,174,494","1,543",,"313,441",,1
2851,bigger th�n everyt,bigger th�n everyt,Yeat,8/10/2023,USUM72311204,"2,832",26.3,"48,790,265","26,044","5,580,526",59.0,"11,963,045","259,674",,"239,969","2,309,009","191,102,695",6.0,242,56,2.0,"43,891",,"230,247",,"5,094,725","158,531",,1
2856,N�o Vou Nam,N�o Vou Nam,DJ Ws da Igrejinha,1/19/2024,QZZEC2322612,"2,850",26.2,"73,192,291","7,800","40,120,103",79.0,"34,522,299","269,890",,,,"15,869,838",1.0,6,,24.0,"14,916,452",17.0,,,,"143,297",,1
2860,S�PER ULTRA ,S�PER ULTRA ,Picus,4/15/2023,MXUM72300426,"2,844",26.2,"14,167,450",963,"227,636",56.0,"246,398,948","1,783,107",,"10,206,545","145,453,664","80,150,371",,374,,,,1.0,,,,"55,529",,0
2863,Psycho,�The ReVe Festival� Finale,Red Velvet,12/23/2019,KRA301900597,"2,851",26.2,"471,042,668","37,370","8,743,783",66.0,"716,847,469","9,852,754","46,801","34,695,574","222,663,523","15,450,015",21.0,"6,935",5,7.0,"3,371",19.0,"3,058,867","7,402",,"578,357",,0
2880,�,�,YOASOBI,1/6/2021,JPP302000760,"2,855",26.1,"311,307,250","48,587","6,777,195",61.0,"460,930,832","3,166,818","73,300","18,691,633","275,649,626","78,255,590",38.0,938,,4.0,"20,773",7.0,"1,427,765",827,,"556,492",,0
2890,Devil Doesn�t B,(Un)Commentary,Alec Benjamin,4/15/2022,USAT22200712,"2,888",26.0,"203,417,763","41,522","3,635,691",66.0,"69,712,050","939,096","624,819","85,472,081","686,244,417","1,916,679,817",12.0,"18,320",111,2.0,"3,773",7.0,"43,710,605","11,796",,"885,217",,0
2893,Haja Col�rio (feat. Hugo & Guilherme) - Ao ,Haja Col�rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,6/23/2022,BCVV82000055,"2,871",26.0,"290,735,048","17,734","15,206,997",60.0,"296,249,830","565,573","51,900","5,612,563","91,683,933","3,084,523,872",25.0,"8,531",,42.0,"605,462",7.0,218,,,"136,717",,0
2907,Bang Bang,Todo Exitos 2014 (Los N�mero 1 Del A,Jessie J,1/1/2014,USUM71409737,"2,895",25.9,"1,336,196,012","120,161","65,089,226",72.0,"321,959,140","3,114,933","22,465","36,410,479","243,157,936","2,330",164.0,"30,904",140,107.0,"1,187,886",53.0,"520,899,844","621,488",,"6,269,103",,0
2925,i am not who i was,i am not who i was - Single,Chance Pe�,9/21/2023,QZTPX2322912,"2,910",25.8,"188,215,390","24,322","21,529,351",,"3,624,497",,"6,448","2,220,665","21,944,041","29,364,635",6.0,"1,022",217,3.0,"1,026,164",,"9,796,656",668,,"222,417",,0
2933,� �,� �,ANNA ASTI,6/3/2022,RUA1D2242027,"2,922",25.8,"21,081,306","7,633","496,465",51.0,"375,871,120","962,835","31,931","3,332,788","74,908,911","27,887,420",20.0,"1,266",,,,,,,,"1,180,992",,0
2937,"Cay� La Noche (feat. Cruz Cafun�, Abhir Hathi, Bejo, EL IMA)","Cay� La Noche (feat. Cruz Cafun�, Abhir Hathi, Bejo, EL IMA)",La Pantera,1/14/2022,ES5152101308,"2,924",25.8,"283,228,006","63,076","8,936,948",62.0,"169,044,728","998,010","147,165","84,459,330","906,688,195","237,830,514",13.0,"4,039",,8.0,"12,464",22.0,,,,"696,795",,1
2942,Cart�o B,Cart�o B,MC Caverinha,5/11/2023,BRRGE2300377,"2,917",25.8,"143,421,339","23,431","7,023,908",63.0,"108,239,669","1,037,417","40,500","12,310,702","125,638,371","5,015,995",6.0,449,,14.0,"399,034",10.0,,,,"75,108",,0
2966,Halls na L�,Halls na L�,Kadu Martins,3/24/2023,BRTS22300004,"2,969",25.6,"150,516,046","13,034","10,626,005",63.0,"146,315,225","673,901","288,400","23,319,532","269,119,367","225,214",6.0,,,19.0,"847,205",5.0,,,,,,0
2974,Mu�ekita (with El Alfa & JT from City Gi,Mu�ekita (with El Alfa & JT from City Gi,Kali Uchis,8/4/2023,USUM72311229,"2,967",25.6,"96,105,220","17,341","10,481,728",60.0,"40,245,884","594,327","253,268","62,889,421","531,122,265","82,583",16.0,"2,188",69,16.0,"179,869",44.0,"1,583,340","1,130","742,848","443,624",,1
2980,UNA NOCHE EN MEDELL�N - R,MA�ANA SER� BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305258,"2,959",25.6,"192,439,879","16,960","28,438,488",73.0,"53,961,405","347,263","84,218","8,041,478","134,541,936",,14.0,,,13.0,"2,464,704",12.0,"9,220,102","1,150",,"213,623",,1
2997,THUNDER Y LIGHTNING,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364198,"2,988",25.5,"96,595,281","22,799","6,473,640",,"23,983,245","280,298",,,,,12.0,319,,,,11.0,"2,420,053",347,,"125,371",,1
2998,Evergreen (You Didn�t Deserve Me A,Ivory,Omar Apollo,4/8/2022,USWB12200423,"2,986",25.5,"331,332,225","63,568","40,680,913",71.0,"48,857,418","519,822","231,208","151,059,649","1,181,420,700","128,639,662",60.0,"22,823",192,28.0,"891,836",25.0,"1,824,815","4,330",,"1,380,833",,0
3017,� Feat.IIVY B,� (feat. IIVY B) - Single,bonnadol,7/15/2022,THSOH2206117,"3,006",25.4,"9,045,662","2,307","416,469",39.0,,,"2,800,000","137,742,080","1,523,347,880",,1.0,,,,,,,,,"28,399",,0
3018,Chyba �e z T,Chyba �e z T,MODELKI,4/4/2024,PLUM72400116,"3,010",25.4,"20,661,452","1,206","2,480,648",69.0,"30,566,261","214,059",,,,,3.0,779,,1.0,"106,258",,,,,"88,150",,0
3028,Seya,Les derni�res volont�s de Mozart (S,SativaMusic,12/2/2022,DGA0M2330144,"3,017",25.3,"159,144,858","35,171","7,779,465",64.0,"106,347,047","622,153","68,170","18,218,057","239,495,826","334,769,492",13.0,"6,397",,14.0,"1,172,826",9.0,,,,,,0
3029,La Familia Dedo de Cuqu�,La Familia Dedo de Cuqu�n - Si,Cleo y Cuqu�n - Familia Tele,12/10/2023,QZZ8B2348977,"3,022",25.3,"3,560",,,,"119,311,487","439,743",,,,,,,,,,,,,,,,0
3037,Ya Pedo Qui�n ,Ya Pedo Qui�n Sabe - Si,Grupo Frontera,3/7/2024,FR96X2441011,"3,027",25.2,"45,905,973","2,184","4,012,784",,"34,714,612","273,830",,,,,11.0,"1,719",17,5.0,"73,612",1.0,"2,173,096",348,,"137,018",,0
3049,AUTOM�,AUTOM�,Maria Becerra,9/8/2022,USAT22213513,"3,036",25.2,"204,236,514","25,243","8,322,243",58.0,"179,427,174","968,498","171,636","73,100,787","793,805,115","20,772,372",13.0,"24,832",,14.0,"70,291",27.0,"784,095",174,"16,502","386,958",,0
3054,�,�,tuki.,9/29/2023,JPW462364925,"3,050",25.1,"69,340,146","4,747","3,839,570",71.0,"102,713,271","935,435","44,600","11,152,820","349,668,362","1,113,228,730",26.0,152,,1.0,"9,615",2.0,,,,"206,249",,0
3057,� Feat. TNDTLE,� Feat. TNDTLE,NOAH,3/15/2023,THSOH2301669,"3,046",25.1,"2,490,145",953,"112,207",36.0,"4,438,330","15,474","1,800,000","23,657,798","272,142,273",,,,,,,,,,,"6,696",,0
3074,Me Enter�,Me Enter�,Tiago PZK,5/18/2023,USWL12300718,"3,077",25.0,"144,493,101","18,536","13,122,139",65.0,"109,364,201","460,758","32,956","4,979,403","58,143,056","389,898",18.0,"8,400",,9.0,"164,645",21.0,"47,014",23,"2,887","96,820",,0
3075,La T�,La T�,Farruko,7/24/2020,USSD12000175,"3,061",25.0,"476,699,016","59,108","16,119,167",56.0,"371,106,551","2,197,396","326,403","13,434,496","201,544,043","26,714,074",77.0,"20,284",102,21.0,"324,522",34.0,"34,431,411","10,800",,"1,386,076",,0
3094,Co�o (feat. Jhorrmountain x A,Co�,Puri,1/1/2017,NLZ541800787,"3,091",24.9,"22,218,209","7,241","1,399,998",32.0,"21,093,595","188,510","10,500,000","458,247,558","4,873,210,023",,3.0,"1,870",,3.0,"1,550",,"2,676,893","3,380",,"223,332",,0
3096,�,� - Single,Wallem,3/12/2024,RUAGV2401381,"3,081",24.9,"3,636,983",776,"267,020",,"39,164,465","229,600",,352,"3,865",,14.0,,,,,,,,,"600,644",,0
3099,Melhor S�,Melhor S�,KayBlack,3/30/2023,BRWMB2300643,"3,085",24.9,"178,044,172","26,553","8,415,131",66.0,"104,014,904","542,875","28,364","5,758,768","41,424,590","15,576,347",10.0,2,,24.0,"483,329",12.0,,,,"130,950",,0
3111,La Dif�,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030889,"3,112",24.8,"718,032,755","88,205","26,808,160",68.0,"304,269,630","2,445,183","16,400","5,979,412","59,989,029","20,259,925",75.0,"12,613",157,22.0,"265,221",14.0,"57,602,908","15,742",,"718,684",,1
3112,TE MUDASTE,EL �LTIMO TOUR DEL M,Bad Bunny,11/27/2020,QMFME2066837,"3,099",24.8,"717,202,437","80,289","19,161,838",71.0,"213,527,195","1,587,764","107,700","42,476,322","253,170,602","3,039,304",57.0,"4,112",249,30.0,"1,607,489",6.0,"37,604,869","5,455",,"556,069",,1
3115,Blame,So Fresh � The Hits Of Summer 2015 + Best O,Calvin Harris,1/1/2014,GBARL1400567,"3,103",24.8,"934,248,345","132,560","39,090,664",73.0,"875,518,093","3,588,736","125,946","10,680,445","98,339,758","241,173,869",90.0,"39,747",37,90.0,"680,909",12.0,"244,084,589","73,774","298,284","10,476,296",,0
3117,�(�)�,What We Talk About: N�,N�,12/13/2022,CHF432200041,"3,109",24.8,"2,375",4,234,2.0,"341,933,075","2,997,158",,,,,,4,,,,,,,,,,0
3118,La Mam� de la M,La Mam� de la Mam� (feat. Chael Produciendo) ,El Alfa,4/8/2021,USCGJ2190595,"3,114",24.8,"235,729,934","64,455","9,128,985",67.0,"50,135,254","444,622","1,307,941","285,423,960","2,710,660,328",,17.0,"8,349",28,1.0,"8,291",7.0,"24,518,275","26,630",,"2,462,313",,1
3120,B�t T�nh,Turn On Love - Single,T�ng Duy ,2/14/2023,QZWBE2305157,"3,095",24.8,"15,832,405","2,361","159,112",51.0,"68,240,319","287,155","1,400,000","14,528,206","515,579,710","2,119,803",2.0,15,,,,,,,,"38,813",,0
3135,EL TONTO,EL DRAG�,Lola Indigo,4/13/2023,ESUM72200152,"3,122",24.7,"153,105,498","29,888","12,288,087",63.0,"47,288,100","290,046","168,400","22,898,965","286,515,216","10,261,483",31.0,"12,333",,19.0,"162,668",23.0,"2,969",7,,"361,203",,0
3137,Friend of a Friend,Friend of a Friend (ft. M1KE),M�lod,3/28/2023,GX4LG2101513,"3,126",24.7,,5,"6,700",,"274,862,350","604,907",,,,"26,664,062",,8,,,,,,,,12,,1
3149,PARTIDO EN DOS,PARTIDO EN DOS,La �nica Trop,2/24/2024,ES71G2405104,"3,155",24.6,"10,459,553",360,"1,242,873",65.0,"53,298,480","230,317",,,,"2,812,991",2.0,"2,012",,1.0,"26,058",,,,,"93,465",,0
3161,Saiyan,Saiyan,Heuss L'enfoir�,6/2/2023,FR1DC2300200,"3,137",24.6,"107,498,014","21,969","4,562,733",61.0,"72,443,764","387,673",,182,"3,247","196,303,575",15.0,"9,237",,12.0,"4,938,235",21.0,,,"395,699","878,245",,1
3163,Par�,Par�,Ingratax,7/9/2021,MXB952100097,"3,142",24.6,"526,025,120","46,184","9,102,818",67.0,"160,959,114","2,763,162","1,041,041","242,823,183","2,209,200,556","20,176,409",36.0,"4,952",,2.0,"9,765",20.0,"2,469,664","1,944",,"819,536",,0
3187,P�,P�gate - Si,Standly,1/3/2022,US7VG2202994,"3,168",24.5,"241,291,389","32,449","5,276,793",67.0,"297,484,348","1,868,447","100,700","31,243,366","308,712,763","93,932,990",4.0,942,,2.0,"12,175",10.0,,,,"365,242",,0
3189,Ya Te Super�,Ya Te Super� - Si,Xavi,5/18/2024,USA2P2428771,"3,174",24.5,"11,107,400",614,"35,459,248",,"10,855,044","227,373",,,,,5.0,,,3.0,"293,379",10.0,"319,500",77,,"41,829",,0
3201,EMPELOTICA,EMPELOTICA,Lenny Tav�,2/22/2024,USWL12400540,"3,181",24.4,"68,349,764","7,210","31,014,133",8.0,"16,821,942","150,277","4,814","936,755","10,013,585","216,158,198",13.0,"1,143",,19.0,"1,742,799",11.0,"486,201",53,"11,448","134,177",,1
3214,C�MO SE SIENTE - R,Como Se Siente (Remix),Jhay Cortez,5/9/2020,USUM72010288,"3,190",24.4,"705,672,746","84,469","33,371,478",70.0,"271,113,088","1,055,058","38,258","16,654,149","124,603,506","504,904",79.0,"4,564",20,35.0,"48,467",22.0,"66,731,877","7,395","72,533","633,497",,1
3222,"Perd�n, Per",Esto S� Es Cu,Los �ngeles Az,6/8/2018,MX1721600897,"3,214",24.3,"61,704,511","4,273","3,030,216",53.0,"1,185,240,552","3,361,490",154,"22,976","402,111","19,256,962",,378,,1.0,"20,173",6.0,"26,921,535","3,376",,"119,855",,0
3240,MERCEDES CAROTA,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364192,"3,231",24.2,"102,660,899","18,253","6,004,573",,"32,838,380","323,861","3,233","2,189,880","21,328,128","2,634,695",9.0,186,,,,3.0,"3,314,440",726,,"208,933",,1
3258,Si Te La Encuentras Por Ah�,Si Te La Encuentras Por Ah�,Feid,8/5/2022,USUM72214628,"3,254",24.1,"245,582,383","50,023","10,033,886",65.0,"100,812,283","754,232","28,407","6,489,257","97,281,914","319,953,187",19.0,"5,593",75,6.0,"272,667",3.0,"2,377,785",259,,"313,095",,0
3268,Maria,Mar�,HWASA,6/29/2020,KRA382002246,"3,258",24.1,"280,901,994","31,034","6,694,945",63.0,"489,518,287","8,770,696","854,500","100,199,461","948,594,062","14,011,677",6.0,"3,915",7,6.0,"43,233",20.0,"2,248,413","3,097",,"126,970",,0
